id,make_model_trim_id,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,make_model_trim
1,1,Hatchback,5,185.8,72.0,5,55.5,107.7,,,5.1,24.3,,3084.0,,,,"{'id': 1, 'make_model_id': 1, 'year': 2023, 'name': 'Base', 'description': '4dr Hatchback (1.5L 4cyl Turbo CVT)', 'msrp': 30800, 'invoice': 30055, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
2,2,Hatchback,5,185.8,72.0,5,55.5,107.7,,,5.1,24.0,,3150.0,,,,"{'id': 2, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo CVT)', 'msrp': 35800, 'invoice': 34400, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
3,3,Hatchback,5,185.8,72.0,5,55.5,107.7,,,5.1,24.0,,3109.0,,,,"{'id': 3, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback (1.5L 4cyl Turbo CVT)', 'msrp': 32800, 'invoice': 31524, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
4,4,Hatchback,5,185.8,72.0,5,55.5,107.7,,,5.1,24.0,,3073.0,,,,"{'id': 4, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo 6M)', 'msrp': 35800, 'invoice': 34400, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
5,5,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.1,95.0,4271.0,,,3500.0,"{'id': 5, 'make_model_id': 2, 'year': 2023, 'name': 'Base', 'description': '4dr SUV (3.5L 6cyl 10A)', 'msrp': 49050, 'invoice': 47815, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
6,6,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.0,95.0,4565.0,,,95.0,"{'id': 6, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 10A)', 'msrp': 63000, 'invoice': 59031, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
7,7,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.1,95.0,4297.0,,,3500.0,"{'id': 7, 'make_model_id': 2, 'year': 2023, 'name': 'Base', 'description': '4dr SUV w/Technology Package (3.5L 6cyl 10A)', 'msrp': 53750, 'invoice': 50599, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
8,8,SUV,5,198.4,78.4,7,67.1,113.8,,,6.7,18.1,95.0,4788.0,,,5000.0,"{'id': 8, 'make_model_id': 2, 'year': 2023, 'name': 'Type S', 'description': 'Type S 4dr SUV AWD w/Advance Package (3.0L 6cyl Turbo 10A)', 'msrp': 72700, 'invoice': 68106, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
9,9,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.0,95.0,4534.0,,,95.0,"{'id': 9, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD A-Spec', 'description': 'SH-AWD A-Spec 4dr SUV AWD (3.5L 6cyl 10A)', 'msrp': 59450, 'invoice': 55833, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
10,10,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.0,95.0,4529.0,,,95.0,"{'id': 10, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 10A)', 'msrp': 55950, 'invoice': 52667, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
11,11,SUV,5,198.4,78.4,7,67.1,113.8,,,7.3,18.0,95.0,4503.0,,,95.0,"{'id': 11, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD (3.5L 6cyl 10A)', 'msrp': 51250, 'invoice': 49955, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
12,12,SUV,5,198.4,78.4,7,67.1,113.8,,,6.7,18.1,95.0,4741.0,,,5000.0,"{'id': 12, 'make_model_id': 2, 'year': 2023, 'name': 'Type S', 'description': 'Type S 4dr SUV AWD (3.0L 6cyl Turbo 10A)', 'msrp': 67350, 'invoice': 63101, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
13,13,Coupe,2,184.9,72.6,4,53.9,108.8,,,,10.9,,3638.0,,,,"{'id': 13, 'make_model_id': 3, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 46200, 'invoice': 43428, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
14,14,Coupe,2,184.9,72.6,4,53.9,108.8,,,,10.9,,3638.0,,,,"{'id': 14, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 51800, 'invoice': 48692, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
15,15,Coupe,2,184.9,72.6,4,53.9,108.8,,,,10.9,,3638.0,,,,"{'id': 15, 'make_model_id': 3, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 55950, 'invoice': 52593, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
16,16,Convertible,2,184.9,72.5,4,54.4,108.8,,,,9.3,,3979.0,,,,"{'id': 16, 'make_model_id': 3, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 52900, 'invoice': 49727, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
17,17,Convertible,2,184.9,72.5,4,54.4,108.8,,,,9.3,,3979.0,,,,"{'id': 17, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 58500, 'invoice': 54991, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
