id,make_id,name,make
1,1,Integra,"{'id': 1, 'name': 'Acura'}"
2,1,MDX,"{'id': 1, 'name': 'Acura'}"
3,2,A5,"{'id': 2, 'name': 'Audi'}"
4,2,e-tron,"{'id': 2, 'name': 'Audi'}"
5,2,e-tron S,"{'id': 2, 'name': 'Audi'}"
6,2,Q3,"{'id': 2, 'name': 'Audi'}"
7,2,Q5,"{'id': 2, 'name': 'Audi'}"
8,2,Q8,"{'id': 2, 'name': 'Audi'}"
9,3,3 Series,"{'id': 3, 'name': 'BMW'}"
10,3,4 Series,"{'id': 3, 'name': 'BMW'}"
11,3,4 Series Gran Coupe,"{'id': 3, 'name': 'BMW'}"
12,3,8 Series,"{'id': 3, 'name': 'BMW'}"
13,3,8 Series Gran Coupe,"{'id': 3, 'name': 'BMW'}"
14,3,ALPINA B8 Gran Coupe,"{'id': 3, 'name': 'BMW'}"
15,3,iX,"{'id': 3, 'name': 'BMW'}"
16,3,X2,"{'id': 3, 'name': 'BMW'}"
17,4,Enclave,"{'id': 4, 'name': 'Buick'}"
18,4,Encore GX,"{'id': 4, 'name': 'Buick'}"
19,4,Envision,"{'id': 4, 'name': 'Buick'}"
20,5,CT4,"{'id': 5, 'name': 'Cadillac'}"
21,5,CT5,"{'id': 5, 'name': 'Cadillac'}"
22,5,Escalade,"{'id': 5, 'name': 'Cadillac'}"
23,5,Escalade ESV,"{'id': 5, 'name': 'Cadillac'}"
24,5,LYRIQ,"{'id': 5, 'name': 'Cadillac'}"
25,5,XT4,"{'id': 5, 'name': 'Cadillac'}"
26,5,XT5,"{'id': 5, 'name': 'Cadillac'}"
27,5,XT6,"{'id': 5, 'name': 'Cadillac'}"
28,6,Bolt EUV,"{'id': 6, 'name': 'Chevrolet'}"
29,6,Bolt EV,"{'id': 6, 'name': 'Chevrolet'}"
30,6,Corvette,"{'id': 6, 'name': 'Chevrolet'}"
31,6,Suburban,"{'id': 6, 'name': 'Chevrolet'}"
32,6,Tahoe,"{'id': 6, 'name': 'Chevrolet'}"
33,6,Trailblazer,"{'id': 6, 'name': 'Chevrolet'}"
34,6,Traverse,"{'id': 6, 'name': 'Chevrolet'}"
35,7,G70,"{'id': 7, 'name': 'Genesis'}"
36,7,GV60,"{'id': 7, 'name': 'Genesis'}"
37,7,GV70,"{'id': 7, 'name': 'Genesis'}"
38,7,GV80,"{'id': 7, 'name': 'Genesis'}"
39,8,Acadia,"{'id': 8, 'name': 'GMC'}"
40,9,HR-V,"{'id': 9, 'name': 'Honda'}"
41,9,Odyssey,"{'id': 9, 'name': 'Honda'}"
42,10,Elantra,"{'id': 10, 'name': 'Hyundai'}"
43,10,Palisade,"{'id': 10, 'name': 'Hyundai'}"
44,10,Santa Fe,"{'id': 10, 'name': 'Hyundai'}"
45,11,Q50,"{'id': 11, 'name': 'INFINITI'}"
46,11,QX55,"{'id': 11, 'name': 'INFINITI'}"
47,12,E-PACE,"{'id': 12, 'name': 'Jaguar'}"
48,12,F-PACE,"{'id': 12, 'name': 'Jaguar'}"
49,12,F-TYPE,"{'id': 12, 'name': 'Jaguar'}"
50,12,I-PACE,"{'id': 12, 'name': 'Jaguar'}"
51,12,XF,"{'id': 12, 'name': 'Jaguar'}"
52,13,Carnival,"{'id': 13, 'name': 'Kia'}"
53,13,Forte,"{'id': 13, 'name': 'Kia'}"
54,13,K5,"{'id': 13, 'name': 'Kia'}"
55,13,Seltos,"{'id': 13, 'name': 'Kia'}"
56,13,Soul,"{'id': 13, 'name': 'Kia'}"
57,13,Sportage,"{'id': 13, 'name': 'Kia'}"
58,13,Sportage Hybrid,"{'id': 13, 'name': 'Kia'}"
59,13,Stinger,"{'id': 13, 'name': 'Kia'}"
60,14,Defender,"{'id': 14, 'name': 'Land Rover'}"
61,14,Discovery,"{'id': 14, 'name': 'Land Rover'}"
62,14,Discovery Sport,"{'id': 14, 'name': 'Land Rover'}"
63,14,Range Rover,"{'id': 14, 'name': 'Land Rover'}"
64,14,Range Rover Evoque,"{'id': 14, 'name': 'Land Rover'}"
65,14,Range Rover Velar,"{'id': 14, 'name': 'Land Rover'}"
66,15,Aviator,"{'id': 15, 'name': 'Lincoln'}"
67,16,CX-50,"{'id': 16, 'name': 'Mazda'}"
68,17,Clubman,"{'id': 17, 'name': 'MINI'}"
69,17,Convertible,"{'id': 17, 'name': 'MINI'}"
70,17,Countryman,"{'id': 17, 'name': 'MINI'}"
71,17,Hardtop 2 Door,"{'id': 17, 'name': 'MINI'}"
72,17,Hardtop 4 Door,"{'id': 17, 'name': 'MINI'}"
73,18,Eclipse Cross,"{'id': 18, 'name': 'Mitsubishi'}"
74,19,LEAF,"{'id': 19, 'name': 'Nissan'}"
75,19,Z,"{'id': 19, 'name': 'Nissan'}"
77,21,BRZ,"{'id': 21, 'name': 'Subaru'}"
78,21,Crosstrek,"{'id': 21, 'name': 'Subaru'}"
79,21,Impreza,"{'id': 21, 'name': 'Subaru'}"
80,21,Legacy,"{'id': 21, 'name': 'Subaru'}"
81,21,Outback,"{'id': 21, 'name': 'Subaru'}"
82,21,Solterra,"{'id': 21, 'name': 'Subaru'}"
83,22,bZ4X,"{'id': 22, 'name': 'Toyota'}"
84,22,Camry,"{'id': 22, 'name': 'Toyota'}"
85,22,Camry Hybrid,"{'id': 22, 'name': 'Toyota'}"
86,22,GR86,"{'id': 22, 'name': 'Toyota'}"
87,23,C40 Recharge Twin Pure Electric,"{'id': 23, 'name': 'Volvo'}"
88,23,S60,"{'id': 23, 'name': 'Volvo'}"
89,23,S90,"{'id': 23, 'name': 'Volvo'}"
90,23,V60,"{'id': 23, 'name': 'Volvo'}"
91,23,V60 Cross Country,"{'id': 23, 'name': 'Volvo'}"
92,23,V90 Cross Country,"{'id': 23, 'name': 'Volvo'}"
93,23,XC40,"{'id': 23, 'name': 'Volvo'}"
