id,make_model_id,year,name,description,msrp,invoice,created,modified,make_model
1,1,2023,Base,4dr Hatchback (1.5L 4cyl Turbo CVT),30800,30055,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}"
2,1,2023,A-Spec,A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo CVT),35800,34400,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}"
3,1,2023,A-Spec,A-Spec 4dr Hatchback (1.5L 4cyl Turbo CVT),32800,31524,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}"
4,1,2023,A-Spec,A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo 6M),35800,34400,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}"
5,2,2023,Base,4dr SUV (3.5L 6cyl 10A),49050,47815,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
6,2,2023,SH-AWD,SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 10A),63000,59031,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
7,2,2023,Base,4dr SUV w/Technology Package (3.5L 6cyl 10A),53750,50599,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
8,2,2023,Type S,Type S 4dr SUV AWD w/Advance Package (3.0L 6cyl Turbo 10A),72700,68106,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
9,2,2023,SH-AWD A-Spec,SH-AWD A-Spec 4dr SUV AWD (3.5L 6cyl 10A),59450,55833,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
10,2,2023,SH-AWD,SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 10A),55950,52667,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
11,2,2023,SH-AWD,SH-AWD 4dr SUV AWD (3.5L 6cyl 10A),51250,49955,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
12,2,2023,Type S,Type S 4dr SUV AWD (3.0L 6cyl Turbo 10A),67350,63101,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}"
13,3,2023,Premium S line,Premium S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),46200,43428,2022-08-30T22:19:55-04:00,2022-08-30T22:19:55-04:00,"{'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}"
